number,rank,title,recruitment,recruitment_bin,postedresults,resultsarrived_bin,conditions,intervention.merge,phase2,enrollment,gender,fund_source_grp,interventionmodel,randomized,purpose,yearreceived,yearstart,primarylength,intervention.model,phase,masking,testing,masking2,enrollment.log,enrollment.log.cut
3234,4539,td-6450 mad study in hcv infected subjects,Completed,4,0,0,Hepatitis C|HCV,drug or biologic,Early,47,All,Industry&Combos,0,0,0,2014,2014,153,0,Phase 1,1,NA,1,3.8501476017100584,"(3,4]"
1596,1746,"study of immune checkpoint inhibition with radiation therapy in unresectable, non-metastatic pancreatic cancer",Withdrawn,7,0,0,Pancreatic Cancer,drug or biologic,Early,NA,All,Industry&Combos,1,1,0,2016,2016,939,1,Phase 1,0,NA,0,NA,NA
3412,5149,a study of dkn-01 in combination with paclitaxel or pembrolizumab,"Active, not recruiting",1,0,0,Esophageal Neoplasms|Adenocarcinoma of the Gastroesophageal Junction|Gastroesophageal Cancer|Squamous Cell Carcinoma|Gastric Adenocarcinoma,drug or biologic,Early,151,All,Industry&Combos,1,1,0,2013,2014,2526,1,Phase 1,0,NA,0,5.017279836814924,"(5,6]"
152,152,irinotecan-eluting beads in treating patients with refractory metastatic colon or rectal cancer that has spread to the liver,Terminated,5,0,0,Liver Metastases|Mucinous Adenocarcinoma of the Colon|Mucinous Adenocarcinoma of the Rectum|Recurrent Colon Cancer|Recurrent Rectal Cancer|Signet Ring Adenocarcinoma of the Colon|Signet Ring Adenocarcinoma of the Rectum|Stage IVA Colon Cancer|Stage IVA Rectal Cancer|Stage IVB Colon Cancer|Stage IVB Rectal Cancer,procedure,Others,2,All,NIH&Combos,0,NA,0,2014,2016,431,0,Others,1,NA,1,0.6931471805599453,"(0,1]"
226,229,sirolimus for eosinophil-associated gastrointestinal disorders,Terminated,5,0,0,Eosinophilic Gastroenteritis|Eosinophilic Esophagitis,drug or biologic,Early,4,All,NIH&Combos,0,1,0,2013,2013,796,0,Phase 1,1,NA,1,1.3862943611198906,"(1,2]"
3020,4055,a study to investigate how the study drug shp626 is eliminated from the body after one dose,Completed,4,0,0,Non-Alcoholic Steatohepatitis,drug or biologic,Early,8,Male,Industry&Combos,0,NA,4,2015,2015,0,0,Phase 1,1,NA,1,2.0794415416798357,"(2,3]"
3721,6221,impact of probiotics on oral microbiota in older adults with dysphagia,Suspended,6,0,0,Dysphagia,drug or biologic,Early,20,All,AllOther,0,NA,0,2018,2018,1145,0,Early Phase 1,1,NA,1,2.995732273553991,"(2,3]"
507,528,induction of gut permeability by an oral vaccine,Recruiting,2,0,0,Intestinal Permeability|Inflammation|Vaccine|Typhoid Fever,drug or biologic,Early,15,Female,AllOther,0,NA,4,2019,2019,758,0,Early Phase 1,1,NA,1,2.70805020110221,"(2,3]"
1647,1811,pk and pd study of idn-6556 in subjects with hepatic impairment and matched healthy volunteers,Completed,4,1,1,Hepatic Impairment|Liver Diseases|Digestive System Diseases,drug or biologic,Early,37,All,Industry&Combos,1,1,0,2014,2014,91,1,Phase 1,0,NA,0,3.6109179126442243,"(3,4]"
2007,2364,postoperative chemoradiation or chemotherapy after preoperative chemotherapy for gastric cancers,Terminated,5,1,1,Gastrointestinal Cancer,drug or biologic,Early,6,All,AllOther,1,1,0,2018,2018,634,1,Early Phase 1,0,NA,0,1.791759469228055,"(1,2]"
4107,8192,a study to evaluate the effects of food and esomeprazole on the pharmacokinetics of crizotinib in a coated microsphere formulation.,Completed,4,0,0,Healthy,drug or biologic,Early,18,All,Industry&Combos,3,0,4,2017,2017,91,3,Phase 1,0,pharmacokinetics only,0,2.8903717578961645,"(2,3]"
213,216,improving pancreas radiotherapy plans using respiration-driven anatomic deformation: a pilot study,Completed,4,0,0,Pancreatic Cancer,other,Others,15,All,AllOther,0,NA,4,2013,2013,608,0,Others,1,NA,1,2.70805020110221,"(2,3]"
281,286,dc vaccine in pancreatic cancer,Recruiting,2,0,0,Pancreatic Ductal Adenocarcinoma,drug or biologic,Early,12,All,AllOther,0,NA,0,2018,2018,1046,0,Phase 1,1,NA,1,2.4849066497880004,"(2,3]"
523,544,early serum infliximab levels in severe ulcerative colitis.,Completed,4,0,0,Ulcerative Colitis (UC)|Inflammatory Bowel Disease,drug or biologic,Early,11,All,AllOther,0,NA,4,2013,2013,426,0,Phase 1,1,NA,1,2.3978952727983707,"(2,3]"
1483,1603,"a phase i study of the safety, reactogenicity, and immunogenicity of sm-tsp-2/alhydrogel ® with or without gla-af for intestinal schistosomiasis in healthy adults",Completed,4,0,0,Schistosomiasis,drug or biologic,Early,72,All,NIH&Combos,1,0,1,2015,2015,723,1,Phase 1,2,safety,2,4.276666119016055,"(4,5]"
